make,word,count
toyota,rockies,10
toyota,motor,10
toyota,chasingoctober,10
toyota,program,9
toyota,texas,9
toyota,amid,9
toyota,akio,9
toyota,corolla,9
toyota,auto,8
toyota,vehicles,8
toyota,sale,8
toyota,tundra,8
toyota,kat,8
toyota,culture,8
chevrolet,dm,16
chevrolet,wed,14
chevrolet,dan,14
chevrolet,privacy,12
chevrolet,policy,12
chevrolet,vehicle,11
chevrolet,silverado,11
chevrolet,learn,11
chevrolet,vin,9
chevrolet,info,9
chevrolet,kindly,9
chevrolet,including,8
chevrolet,contact,8
chevrolet,having,7
chevrolet,concern,7
chevrolet,help,7
chevrolet,love,6
chevrolet,vehicles,6
chevrolet,provided,6
chevrolet,youre,6
chevrolet,amp,5
chevrolet,sorry,5
chevrolet,way,5
chevrolet,mileage,5
chevrolet,cars,5
chevrolet,chevy,4
chevrolet,tahoe,4
chevrolet,october,4
chevrolet,friends,4
chevrolet,watch,4
chevrolet,car,4
chevrolet,reaching,4
chevrolet,indycar,4
chevrolet,dealer,4
chevrolet,future,4
chevrolet,happy,4
chevrolet,preferred,4
chevrolet,hi,4
chevrolet,equal,4
chevrolet,parts,4
chevrolet,tour,4
chevrolet,maxton,4
chevrolet,gm,3
chevrolet,course,3
chevrolet,filled,3
chevrolet,bolt,3
chevrolet,thanks,3
chevrolet,todays,3
chevrolet,area,3
chevrolet,hit,3
audi,field,18
audi,washspirit,10
audi,audio,9
audi,game,8
audi,etron,8
audi,uswnt,8
audi,goodness,6
audi,ev,5
audi,dc,5
audi,en,5
audi,rs,5
audi,performance,5
audi,cars,5
audi,includes,4
audi,janszky,4
audi,midsize,4
audi,todays,4
audi,mls,4
audi,car,4
audi,laselectaslv,4
audi,drive,4
audi,el,4
audi,sports,4
audi,world,3
audi,luxury,3
audi,legislative,3
audi,action,3
audi,training,3
audi,mets,3
audi,dont,3
audi,night,3
audi,goal,3
audi,wait,3
audi,partido,3
audi,penalty,3
audi,dtm,3
audi,race,3
audi,heres,3
audi,stadium,3
audi,spyder,3
audi,rwd,3
audi,soccer,3
audi,space,3
audi,list,2
audi,efficient,2
audi,evs,2
audi,porsche,2
audi,recording,2
audi,premier,2
audi,recent,2
nissan,stadium,22
nissan,titans,18
nissan,ariya,14
nissan,raiders,12
nissan,altima,11
nissan,z,10
nissan,police,9
nissan,white,9
nissan,car,8
nissan,tennessee,8
nissan,away,7
nissan,driving,7
nissan,electric,7
nissan,ev,7
nissan,amp,7
nissan,subs,6
nissan,supergt,6
nissan,greenpeace,6
nissan,thumbsdown,6
nissan,decarbonisation,6
nissan,efforts,6
nissan,drive,6
nissan,recalling,6
nissan,faulty,6
nissan,parking,6
nissan,plate,6
nissan,popular,6
nissan,driver,6
nissan,pickup,5
nissan,element,5
nissan,vehicles,5
nissan,roll,5
nissan,parked,5
nissan,license,5
nissan,crossover,5
nissan,frontier,5
nissan,las,5
nissan,vegas,5
nissan,faketaxi,4
nissan,certainly,4
nissan,blackjack,4
nissan,civic,4
nissan,vanguard,4
nissan,thoughts,4
nissan,ahead,4
nissan,getting,4
nissan,killed,4
nissan,trucks,4
nissan,info,4
nissan,start,4
land rover,rover,7
land rover,land,5
land rover,range,2
land rover,sport,2
land rover,anybody,2
land rover,technician,2
land rover,question,2
land rover,watch,1
land rover,drive,1
land rover,youon,1
land rover,fast,1
land rover,women,1
land rover,nicolewakelin,1
land rover,writeeileen,1
land rover,travel,1
land rover,madrid,1
land rover,test,1
land rover,spains,1
land rover,highways,1
land rover,countryside,1
land rover,dam,1
land rover,download,1
land rover,subscribe,1
land rover,yousundarsrik,1
land rover,adityadickysin,1
land rover,malamala,1
land rover,game,1
land rover,reserve,1
land rover,adjacent,1
land rover,kruger,1
land rover,parked,1
land rover,base,1
land rover,tree,1
land rover,leopard,1
land rover,came,1
land rover,saw,1
land rover,stopped,1
land rover,descent,1
land rover,picture,1
land rover,taken,1
land rover,manual,1
land rover,focus,1
land rover,camera,1
land rover,lucked,1
land rover,big,1
subaru,lafayette,22
subaru,plant,18
subaru,shooting,14
subaru,police,13
subaru,subaruusa,10
subaru,loves,8
subaru,bigger,8
subaru,amp,8
subaru,outback,7
subaru,hololive,6
subaru,brz,5
subaru,woman,5
subaru,legacy,5
subaru,car,5
subaru,oozora,5
subaru,email,5
subaru,hondaits,4
subaru,great,4
subaru,line,4
subaru,wish,4
subaru,springsteen,4
subaru,sly,4
subaru,gr,4
subaru,redesigned,4
subaru,inside,4
subaru,shared,4
subaru,engine,4
subaru,identical,4
subaru,thank,4
subaru,identified,4
subaru,shot,4
subaru,afternoon,4
subaru,situation,4
subaru,live,4
subaru,indiana,4
subaru,responding,4
subaru,make,4
subaru,generation,4
subaru,im,4
subaru,partner,4
subaru,reduce,4
subaru,waste,4
subaru,safeguard,4
subaru,resources,4
subaru,future,4
subaru,generations,4
subaru,preserve,4
subaru,natural,4
subaru,spaces,4
subaru,branded,4
tesla,million,125
tesla,vehicles,123
tesla,elon,101
tesla,musk,93
tesla,ai,90
tesla,windows,80
tesla,pinch,65
tesla,elonmusk,63
tesla,robot,62
tesla,teslas,61
tesla,recalling,60
tesla,nearly,58
tesla,cars,57
tesla,ceo,56
tesla,model,51
tesla,car,48
tesla,optimus,46
tesla,gave,44
tesla,ride,43
tesla,fingers,41
tesla,recalls,40
tesla,electric,39
tesla,amp,38
tesla,apple,37
tesla,cybertruck,37
tesla,people,37
tesla,way,36
tesla,rolled,36
tesla,ev,35
tesla,window,35
tesla,battery,34
tesla,recall,32
tesla,tsla,30
tesla,make,29
tesla,twitter,29
tesla,california,28
tesla,wholemarsblog,27
tesla,company,27
tesla,power,26
tesla,vehicle,25
tesla,musks,25
tesla,humanoid,25
tesla,selfdriving,25
tesla,drive,24
tesla,autonomous,23
tesla,expect,23
tesla,update,23
tesla,driving,22
tesla,state,22
tesla,video,21
hyundai,kia,72
hyundai,cars,44
hyundai,thieves,32
hyundai,amp,29
hyundai,key,24
hyundai,walk,24
hyundai,leaves,22
hyundai,hack,21
hyundai,vulnerable,21
hyundai,vehicles,21
hyundai,suvs,18
hyundai,cancer,17
hyundai,jimmyfundwalk,14
hyundai,thefts,13
hyundai,targets,13
hyundai,data,13
hyundai,jimmy,13
hyundai,fund,13
hyundai,missing,12
hyundai,antitheft,12
hyundai,device,12
hyundai,insurance,12
hyundai,pres,12
hyundai,lawsuit,12
hyundai,tax,11
hyundai,motor,11
hyundai,filed,11
hyundai,ev,10
hyundai,easy,10
hyundai,dealerships,9
hyundai,manager,9
hyundai,action,9
hyundai,confirms,9
hyundai,world,9
hyundai,theft,9
hyundai,america,9
hyundai,hero,9
hyundai,evs,8
hyundai,read,8
hyundai,vehicle,8
hyundai,danafarber,8
hyundai,dabears,8
hyundai,viral,8
hyundai,thank,8
hyundai,looking,7
hyundai,seeing,7
hyundai,ways,7
hyundai,difference,7
hyundai,media,7
hyundai,credit,7
GMC,gmc,36
GMC,pickup,11
GMC,hummer,11
GMC,ev,10
GMC,learn,7
GMC,good,6
GMC,offroad,6
GMC,gmchummerev,6
GMC,team,6
GMC,amp,6
GMC,vehicle,5
GMC,gmccanyon,5
GMC,mode,5
GMC,terrain,5
GMC,dm,5
GMC,truck,4
GMC,lightening,4
GMC,power,4
GMC,house,4
GMC,days,4
GMC,advanced,4
GMC,drive,4
GMC,final,4
GMC,copperxprix,4
GMC,standard,3
GMC,preferred,3
GMC,ready,3
GMC,help,3
GMC,showcasing,3
GMC,concerns,3
GMC,wed,3
GMC,assist,3
GMC,send,3
GMC,details,3
GMC,hear,3
GMC,policy,3
GMC,gm,3
GMC,cadillac,3
GMC,dealership,3
GMC,need,3
GMC,assistance,3
GMC,sorry,3
GMC,recommend,3
GMC,win,3
GMC,used,3
GMC,presented,3
GMC,buick,3
GMC,including,3
GMC,line,3
GMC,extremee,3
jaguar,jaguars,998
jaguar,chargers,333
jaguar,vs,166
jaguar,eagles,133
jaguar,game,125
jaguar,nfl,104
jaguar,jacksonville,104
jaguar,lawrence,92
jaguar,herbert,85
jaguar,pederson,84
jaguar,doug,82
jaguar,team,77
jaguar,win,68
jaguar,trevor,64
jaguar,justin,63
jaguar,duuuval,63
jaguar,qb,59
jaguar,play,59
jaguar,season,58
jaguar,good,56
jaguar,amp,54
jaguar,jags,49
jaguar,colts,45
jaguar,defense,45
jaguar,injury,44
jaguar,los,44
jaguar,yards,42
jaguar,teams,41
jaguar,angeles,41
jaguar,jones,40
jaguar,great,38
jaguar,football,36
jaguar,offense,33
jaguar,make,32
jaguar,wr,32
jaguar,stadium,32
jaguar,field,31
jaguar,afc,31
jaguar,watch,30
jaguar,live,30
jaguar,coach,30
jaguar,kirk,30
jaguar,matchup,30
jaguar,start,30
jaguar,sofi,30
jaguar,la,29
jaguar,dolphins,29
jaguar,robinson,29
jaguar,lloyd,29
jaguar,philadelphia,28
volvo,vehicles,14
volvo,use,13
volvo,snapdragon,13
volvo,qualcomms,12
volvo,latest,9
volvo,car,9
volvo,brand,8
volvo,platforms,8
volvo,joining,8
volvo,automakers,8
volvo,stellantis,8
volvo,renault,8
volvo,vw,8
volvo,suv,7
volvo,hurricane,6
volvo,hybrid,6
volvo,electric,5
volvo,plants,4
volvo,ahead,4
volvo,digital,4
volvo,chassis,4
volvo,upcoming,4
volvo,safety,4
volvo,el,4
volvo,volvos,3
volvo,automotive,3
volvo,nov,3
volvo,manufacturers,3
volvo,radar,3
volvo,locked,3
volvo,ac,3
volvo,close,2
volvo,sc,2
volvo,ian,2
volvo,heeding,2
volvo,ians,2
volvo,potential,2
volvo,impact,2
volvo,idling,2
volvo,south,2
volvo,carolina,2
volvo,deadly,2
volvo,storms,2
volvo,predicted,2
volvo,return,2
volvo,landfall,2
volvo,afternoon,2
volvo,category,2
volvo,phevs,2
volvo,theres,2
volkswagen,ipo,12
volkswagen,porsche,11
volkswagen,billion,10
volkswagen,largest,8
volkswagen,range,7
volkswagen,electric,6
volkswagen,public,6
volkswagen,offering,5
volkswagen,stock,5
volkswagen,car,5
volkswagen,initial,5
volkswagen,end,5
volkswagen,price,5
volkswagen,september,4
volkswagen,euros,4
volkswagen,battery,4
volkswagen,hackers,4
volkswagen,cars,4
volkswagen,concept,4
volkswagen,belgian,4
volkswagen,utility,4
volkswagen,giant,4
volkswagen,partner,4
volkswagen,vehicletogrid,4
volkswagen,energy,4
volkswagen,storage,4
volkswagen,gas,3
volkswagen,interior,3
volkswagen,goal,3
volkswagen,hot,3
volkswagen,valuation,3
volkswagen,make,3
volkswagen,history,3
volkswagen,ag,3
volkswagen,company,3
volkswagen,priced,3
volkswagen,vehicles,3
volkswagen,venture,3
volkswagen,vs,2
volkswagen,suv,2
volkswagen,better,2
volkswagen,ig,2
volkswagen,shares,2
volkswagen,golf,2
volkswagen,r,2
volkswagen,prices,2
volkswagen,expects,2
volkswagen,production,2
volkswagen,germany,2
volkswagen,iconic,2
rivian,electric,20
rivian,amazon,10
rivian,georgia,9
rivian,vehicle,9
rivian,vans,8
rivian,pickup,8
rivian,mercedesbenz,7
rivian,judge,7
rivian,startup,6
rivian,drive,6
rivian,ruling,6
rivian,shot,6
rivian,incentive,6
rivian,package,6
rivian,truck,6
rivian,planned,5
rivian,build,5
rivian,vehicles,5
rivian,billion,5
rivian,offered,5
rivian,ev,5
rivian,development,5
rivian,rivians,5
rivian,joint,4
rivian,venture,4
rivian,buy,4
rivian,trade,4
rivian,model,4
rivian,damages,4
rivian,financing,4
rivian,rate,4
rivian,days,4
rivian,credit,4
rivian,score,4
rivian,test,4
rivian,charge,4
rivian,network,4
rivian,cybertruck,4
rivian,threatens,4
rivian,economic,4
rivian,need,4
rivian,delivery,4
rivian,grab,4
rivian,kia,3
rivian,factories,3
rivian,instead,3
rivian,incentivizing,3
rivian,industry,3
rivian,inflation,3
rivian,reduction,3
dodge,county,17
dodge,city,14
dodge,stay,11
dodge,storms,8
dodge,man,8
dodge,street,8
dodge,challenger,8
dodge,severe,8
dodge,fond,8
dodge,du,8
dodge,lac,8
dodge,counties,8
dodge,la,7
dodge,pm,7
dodge,road,7
dodge,police,7
dodge,charger,7
dodge,dps,7
dodge,hellcat,7
dodge,thunderstorm,7
dodge,dont,6
dodge,shot,6
dodge,car,6
dodge,seized,6
dodge,rain,6
dodge,srt,6
dodge,chase,6
dodge,west,6
dodge,jefferson,6
dodge,mph,6
dodge,warning,6
dodge,washington,6
dodge,morning,6
dodge,amp,6
dodge,near,6
dodge,law,5
dodge,trying,5
dodge,question,5
dodge,way,5
dodge,wind,5
dodge,woman,5
dodge,thousands,5
dodge,place,5
dodge,took,5
dodge,patrol,5
dodge,vehicle,5
dodge,highspeed,5
dodge,texas,5
dodge,change,5
dodge,black,5
jeep,amp,27
jeep,chrysler,12
jeep,vehicles,10
jeep,chevy,10
jeep,tie,10
jeep,makes,9
jeep,philadelphia,9
jeep,carjacked,9
jeep,far,9
jeep,kia,9
jeep,acura,9
jeep,tiesubaru,9
jeep,mitsubishi,9
jeep,mazda,9
jeep,wagoneer,9
jeep,cherokee,8
jeep,grand,6
jeep,detroitnews,6
jeep,police,6
jeep,black,6
jeep,man,5
jeep,sarah,4
jeep,lee,4
jeep,l,4
jeep,car,4
jeep,crash,4
jeep,combines,4
jeep,listen,3
jeep,hit,3
jeep,road,3
jeep,mt,3
jeep,long,3
jeep,killed,3
jeep,driving,3
jeep,seen,3
jeep,stolen,3
jeep,wrangler,3
jeep,west,3
jeep,omaha,3
jeep,hamilton,3
jeep,night,3
jeep,capability,3
jeep,potential,3
jeep,electrification,3
jeep,path,3
jeep,freedom,3
jeep,adventure,3
jeep,authenticity,3
jeep,passion,3
jeep,want,2
